SourceClass,Position,TargetClass,id_number,html_url,refactoring type
,,,567975,https://bugs.eclipse.org/bugs/show_bug.cgi?id=567975,inline method
A,getI,,416198,https://bugs.eclipse.org/bugs/show_bug.cgi?id=416198,inline method
Woo,goo,,24941,https://bugs.eclipse.org/bugs/show_bug.cgi?id=24941,inline method
Try,getImage,,314407,https://bugs.eclipse.org/bugs/show_bug.cgi?id=314407,inline method
,getValue,,44419,https://bugs.eclipse.org/bugs/show_bug.cgi?id=44419,inline method
,,,50139,50139 ¨C [refactoring] [inline] inline static method fails to qualify access to field,inline method
Bug,bar,,98856,https://bugs.eclipse.org/bugs/show_bug.cgi?id=98856,inline method
Bug,add,,123356,https://bugs.eclipse.org/bugs/show_bug.cgi?id=123356,inline method
fred,f,,38469,https://bugs.eclipse.org/bugs/show_bug.cgi?id=38469,inline method
,addRespExpect,,102534,https://bugs.eclipse.org/bugs/show_bug.cgi?id=102534,inline method
Foo,bar,,99974,https://bugs.eclipse.org/bugs/show_bug.cgi?id=99974,inline method
Bug,getObjectAtRow,,95401,https://bugs.eclipse.org/bugs/show_bug.cgi?id=95401,inline method
SubDeprecation,foo,,94426,https://bugs.eclipse.org/bugs/show_bug.cgi?id=94426,inline method
InlineMethodBug,setData,,92519,https://bugs.eclipse.org/bugs/show_bug.cgi?id=92519,inline method
X,show,,67417,https://bugs.eclipse.org/bugs/show_bug.cgi?id=67417,inline method
InLineTest,foo,,72836,https://bugs.eclipse.org/bugs/show_bug.cgi?id=72836,inline method
,,,93861,https://bugs.eclipse.org/bugs/show_bug.cgi?id=93861,inline method
A,logWarning,,72926,https://bugs.eclipse.org/bugs/show_bug.cgi?id=72926,inline method
,format,,91470,https://bugs.eclipse.org/bugs/show_bug.cgi?id=91470,inline method
,,,90772,https://bugs.eclipse.org/bugs/show_bug.cgi?id=90772,inline method
A,foo,,76241,https://bugs.eclipse.org/bugs/show_bug.cgi?id=76241,inline method
,,,72008,https://bugs.eclipse.org/bugs/show_bug.cgi?id=72008,inline method
,,,270953,https://bz.apache.org/netbeans/show_bug.cgi?id=270953,Introduce Method
,,,233782,https://bz.apache.org/netbeans/show_bug.cgi?id=233782,inline method
,concat,,233082,https://bz.apache.org/netbeans/show_bug.cgi?id=233082,inline method
,test,,231631,https://bz.apache.org/netbeans/show_bug.cgi?id=231631,inline method
A,getMessage,,226493,https://bz.apache.org/netbeans/show_bug.cgi?id=226493,inline method
OriginalClass?,originalMethod,,1360,https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1360,Inline method
Main,format,,197,https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/197,inline method
TestCase,foo,,332489,https://youtrack.jetbrains.com/issue/IDEA-332489/Inlining-refactoring-operation-leads-to-naming-conflicts,inline method
,before,,327261,https://youtrack.jetbrains.com/issue/IDEA-327261/Inline-method-doesnt-work-in-unnamed-class,inline method
X,string,,314882,https://youtrack.jetbrains.com/issue/IDEA-314882/Inline-method-adds-unnecessary-parentheses-when-inlining-a-string-concatenation-into-a-string-concatenation,inline method
,haveSeenAllExpectedAtCl,,126312,https://youtrack.jetbrains.com/issue/IDEA-126312/Bad-inline-method,inline method
CallToSimpleGetter,getFirst,,127135,https://youtrack.jetbrains.com/issue/IDEA-127135/Inline-call-to-getter-generates-invalid-code,inline method
TextField,setTextField,,127411,https://youtrack.jetbrains.com/issue/IDEA-127411/Problem-with-inline-method,inline method
Issue,filterMap,,145512,https://youtrack.jetbrains.com/issue/IDEA-145512/Missing-import-after-inline-method,inline method
Example,getString,,145795,https://youtrack.jetbrains.com/issue/IDEA-145795/Inline-method-refactoring-can-change-behavior.,inline method
AAA,test,,96962,https://youtrack.jetbrains.com/issue/IDEA-96962/Inline-method-to-super-constructor-call-break-code,inline method
JavaClass,bar,,133700,https://youtrack.jetbrains.com/issue/IDEA-133700/Wrong-result-of-Inline-Refactor,inline method
B,bar,,152105,https://youtrack.jetbrains.com/issue/IDEA-152105/Inline-method-doesnt-apply-to-comments-and-search-string,inline method
B,foo,,152173,https://youtrack.jetbrains.com/issue/IDEA-152173/Inline-method-refactoring-allows-to-inline-instance-method-into-static-one,inline method
B,foo,,152175,https://youtrack.jetbrains.com/issue/IDEA-152175/Need-to-warn-when-Inline-and-delete-method-overridden-in-descendants,inline method
A,foo,,152181,https://youtrack.jetbrains.com/issue/IDEA-152181/Inline-method-tries-to-inline-private-field,inline method
Sample,bar,,91126,https://youtrack.jetbrains.com/issue/IDEA-91126/JDK-1.8-Inline-a-void-method-to-an-one-line-expression-lambda-inlines-the-method-to-wrong-place,inline method
OriginalClass?,originalMethod,,7297,https://github.com/apache/netbeans/issues/7297,Inline method
InlineMethodTest,inlineMethod,,7298,https://github.com/apache/netbeans/issues/7298,Inline method
OriginalClass,OriginalClass,,7296,https://github.com/apache/netbeans/issues/7296,Inline method
