SourceClass,Position,TargetClass,id_number,html_url,refactoring type
Schema,struct,Layout,572100,https://bugs.eclipse.org/bugs/show_bug.cgi?id=572100,Move member type to new File
Schema,isPrimitive,Layout,572639,https://bugs.eclipse.org/bugs/show_bug.cgi?id=572639,Move member type to new File
Foo,Bar,Bar,564684,https://bugs.eclipse.org/bugs/show_bug.cgi?id=564684,Move member Type to New File
A,moveMe,B,486175,https://bugs.eclipse.org/bugs/show_bug.cgi?id=486175,move method
Source,Stack,Destination,108147,https://bugs.eclipse.org/bugs/show_bug.cgi?id=108147,move method
A,print,Second,41468,https://bugs.eclipse.org/bugs/show_bug.cgi?id=41468,move method
A,m,B,356687,https://bugs.eclipse.org/bugs/show_bug.cgi?id=356687,move method
B,n,A,411529,https://bugs.eclipse.org/bugs/show_bug.cgi?id=411529,move method
SynchronizedCommandStack,execute,Command,347389,https://bugs.eclipse.org/bugs/show_bug.cgi?id=347389,Move member Type to new File
A,x,X,305103,https://bugs.eclipse.org/bugs/show_bug.cgi?id=305103,Move member type to new file
Test,main,Color,88396,https://bugs.eclipse.org/bugs/show_bug.cgi?id=88396,move member type to new file
O,m,S,286221,https://bugs.eclipse.org/bugs/show_bug.cgi?id=286221,move method
Foo,Bar,P,102020,https://bugs.eclipse.org/bugs/show_bug.cgi?id=102020,Move Member Type to New File
A,doit,B,108030,https://bugs.eclipse.org/bugs/show_bug.cgi?id=108030,move method
Inner,Inner,Outer,120432,https://bugs.eclipse.org/bugs/show_bug.cgi?id=120432,move member type to new file
A,foo,C,118063,https://bugs.eclipse.org/bugs/show_bug.cgi?id=118063,move method
A,foo,B,97521,https://bugs.eclipse.org/bugs/show_bug.cgi?id=97521,move method
,,,127556,https://bugs.eclipse.org/bugs/show_bug.cgi?id=127556,Move Member Type to New File
,,,124659,https://bugs.eclipse.org/bugs/show_bug.cgi?id=124659,Move Member Type to New File
Foo,foo,Bar,114509,https://bugs.eclipse.org/bugs/show_bug.cgi?id=114509,move instance method
Test1,methodToMove,TestTarget,117465,https://bugs.eclipse.org/bugs/show_bug.cgi?id=117465,move method
Inner,a,B,111056,https://bugs.eclipse.org/bugs/show_bug.cgi?id=111056,Move Member Type to New File
MoveToNewFile,getA,Try,100555,https://bugs.eclipse.org/bugs/show_bug.cgi?id=100555,Move Member Type to New File
Sub,Color,,99605,https://bugs.eclipse.org/bugs/show_bug.cgi?id=99605,Move Member Type to New File
A,B,,99789,https://bugs.eclipse.org/bugs/show_bug.cgi?id=99789,Move Member Type to New File
A,B,,97529,https://bugs.eclipse.org/bugs/show_bug.cgi?id=97529,move member type to new file
Inner,addTo,Bar,95153,https://bugs.eclipse.org/bugs/show_bug.cgi?id=95153,move member type to new file
AnnotationInvoker,invoke,CopyOfHelperType,95148,https://bugs.eclipse.org/bugs/show_bug.cgi?id=95148,Move member type to new file
